Area,Amount
13900,80
5200,50
8380,59
7725,50
6000,65
10080,63
6500,50
5800,42
5812,48
6500,42
4841,55
7819,62
11575,60
8700,75
9600,60
8190,55
6100,45
7970,54
4190,45
6500,54
6300,75
3390,50
2800,40
5500,52
6100,50
6000,55
5000,63
6500,55
6300,50
12800,86
7000,48
7300,50
6300,45
1500,40
12500,90
7080,45
5200,63
6000,42
6000,69
11137,60
6000,54
